"page_id","product_url","name","image_url","description","category","in_stock","price"
"2851","http://www.yarn.com/products/knitting-nature-2","Knitting Nature","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvMDUvMjgvNjQ1LzI4NTEuem9vbS4xLmpwZyJdXQ/2851.zoom.1.jpg?sha=b02ec5ee2d24882a"," 	Knitting Nature is ""geek chic"" at its most fascinating and beautiful. Pullovers born of a fascination with spirals seen in rams' horns &amp; seashells; a shawl inspired by the atomic structure of quasicrystals; or a man's pullover whose central motif resembles the patterns formed by chemical waves.  ","Knitting > Knitting Books","false",""
"3473","http://www.yarn.com/products/dream-toys","Dream Toys","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvMTcvMDQvOTQ4LzM0NzMuMS56b29tLjEuanBnIl1d/3473.1.zoom.1.jpg?sha=012b6665769c9ed9","Dream Toys, a collection of knit and crocheted toys.","Knitting > Knitting Books","false",""
"GAUGHAN1","http://www.yarn.com/products/comfort-knitting-and-crochet-afghans","Comfort Knitting and Crochet: Afghans","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDIvMTMvNjI5L0dBVUdIQU4xLnpvb20uMS5qcGciXV0/GAUGHAN1.zoom.1.jpg?sha=b7fc584dc206fa4f","More Than 50 Beautiful, Affordable Designs Featuring Berroco's Comfort YarnFor many of us, afghans are the epitome of comfort. Colorful and inviting, they are a staple of the home, without which a living room or bedroom just wouldn’t feel complete. And whether you’re making one for yourself, as a housewarming gift, or to welcome a new baby into the world, the process of creating a handmade afghan can be as rewarding as the finished product. Comfort Knitting and Crochet: Afghans features 50 patterns for these cozy blankets, made with Berroco Comfort yarn—an affordable, ultra-soft acrylic/nylon blend—and designed by the Berroco team, headed by Norah Gaughan. The book includes something for everyone: The designs range from ultra-modern to traditional, from spare to embellished, and are inspired by sources as varied as Scottish tweeds, Japanese Ikat, and Delft pottery. Intended for knitters and crocheters of every skill level, this collection brings new life to the well-loved and versatile afghan.   paperback, 160 pages","Knitting > Knitting Books","true","19.95"
"GARDINER4","http://www.yarn.com/products/indie-socks","Indie Socks","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDEvMjUvNDc4L0dBUkRJTkVSNC56b29tLjEuanBnIl1d/GARDINER4.zoom.1.jpg?sha=b469949a07e8c5af"," 	Love hand-dyed yarns but don't always know what to do with them? Fascinated by independent yarn dyers and want to learn more about them and their businesses? This book will take you behind the scenes with profiles of 25 talented indie dyers written by Donna Arney, accompanied by designs from sock master Chrissy Gardiner featuring a yarn from each dyer. Along the way, learn Chrissy's tips and tricks for working with challenging colorways and selecting the best pattern to go with your chosen yarn. Softcover; 192 pages; Sydwillow Press.  ","Knitting > Knitting Books","false",""
"4702","http://www.yarn.com/products/knitted-bears","Knitted Bears","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTcvMDUvNDAvODQvNDcwMi56b29tLjEuanBnIl1d/4702.zoom.1.jpg?sha=95e21564a1eeb41e","The clear and easy patterns in Knitted Bears are accompanied by stunning photographs that showcase the charming nature of the toys and their mischievous personalities. Each project is created with a wonderful range of soft yarns in gorgeous colors and every single bear includes patterns for their own wardrobe and accessories. There are eight bears in all and the straightforward nature of the patterns combined with inspiration allow readers to create characters that are all their own.","Knitting > Knitting Books","false",""
"4428","http://www.yarn.com/products/toys-to-crochet","Toys to Crochet","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvNTMvNDcvNTM2LzQ0MjguMi56b29tLjEuanBnIl1d/4428.2.zoom.1.jpg?sha=b17a1983dc34625e","Whip up a little magic for the kids you love with 25 patterns for soft, durable, personalized toys. Toys to Crochet is a unique combination of easy-to-crochet dolls and accessories, animals, and toys that you’ll love to make and kids will love to cuddle. Toys to Crochet not only offers a variety of projects for children from six months to six years old, but also a spectrum of new stitches and crocheting techniques to learn. With clear instructions, clever projects, and colorful, fun photography, Toys to Crochet is sure to be the book you turn to when ever you want to bring a smile to a child’s face. ","Crochet > Crochet Books","false",""
"FRANQUEMONT2","http://www.yarn.com/products/drafting-the-long-and-short-of-it-dvd","Drafting: The Long and Short of It DVD","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTkvNTYvNDUvNDkyL0ZSQU5RVUVNT05UMi56b29tLjEuanBnIl1d/FRANQUEMONT2.zoom.1.jpg?sha=575a29ac5727d19f","Learn worsted and long woolen draws, and some in betweenWhat’s the difference between woolen and worsted spinning? IS there a difference? How do you decide when to use what method? Why should a spinner care? The questions are legion, the answers sometimes confusing. Here to make common sense out of it all is Abby Franquemont, who has been spinning since she was five years old.   62 minutes ","Spinning > Spinning, Dyeing & Felting Books","true","19.95"
"GILLINGHAM","http://www.yarn.com/products/knitting-circles-around-mittens-and-more","Knitting Circles around Mittens and More","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDMvMzQvMjkyL0dJTExJTkdIQU0uem9vbS4xLmpwZyJdXQ/GILLINGHAM.zoom.1.jpg?sha=cb1294b4834f2c80","Creative Projects on Circular Needles Antje Gillingham, best-selling author of Knitting Circles around Socks and Knitting More Circles around Socks, expands her repertoire--and yours!--with this beautiful collection. Discover even more great reasons to love knitting--circular needles make it so easy. * Choose from 12 refreshingly stylish designs* Find knitted mitten patterns (fingerless and regular) to keep you cozy, plus fabulous patterns for knitting gloves, hats, and scarves* Stitch a variety of pairs in tandem--when you finish one, you've finished its mateSoftcover; 95 pages; Martingale and Company.","Knitting > Knitting Books","false",""
"FROST1","http://www.yarn.com/products/stitches-for-tailored-knits","Stitches for Tailored Knits","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTkvNTgvMjIvODMvRlJPU1QxLnpvb20uMS5qcGciXV0/FROST1.zoom.1.jpg?sha=c54d90b024297609"," 	Drawing inspiration from couture fabrics, Jean Frost developed multiple variations of stitches in her book Stitches for Tailored Knits — adding additional colors, fibers, or yarn that dramatically transform the fabric. This multi-color, multi-yarn custom approach also makes for great stash knitting.   	The stitches are arranged in families that indicate the type of woven material they imitate—houndstooth, quilted stitch, herringbone, basketweave, twill, chevron, tweed, and fabric stitch. Full-sized images of swatches are accompanied by instructions in charts and words that introduce the multiple stitches. Softcover, 112 pages; XRX   	    	   ","Knitting > Knitting Books","true","19.95"
"3112","http://www.yarn.com/products/tapestry-weaving","Tapestry Weaving","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvMDcvMjYvNzcwLzMxMTIuMC56b29tLjEuanBnIl1d/3112.0.zoom.1.jpg?sha=6e3ff6bd770f8a25","This colorful, exciting book offers a rich source of stimulating and innovative ideas that will appeal ot all abilities. Illustrated throughout with beautiful examples of the author's work and including practical, detailed instructions on all of the techniques. ","Weaving > Weaving Books","false",""
"BKS-GAUGHAN05","http://www.yarn.com/products/knitted-cable-sourcebook","Knitted Cable Sourcebook","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMTEvMTEvMDcvNDIvMDQvMTg3L0tuaXR0ZWRDYWJsZVNvdXJjZWJvb2tDb3Zlci5qcGciXV0/KnittedCableSourcebookCover.jpg?sha=a2992d1d9fa84b1d","The Knitted Cable Sourcebook is a guide for the modern knitter that presents more than 150 new and innovative cable stitch patterns ranging from basic to complex and offers enlightening insight into how cables are engineered, how knitters can design their own, and how knitters can mix and match cables in a knitting pattern. Teacher, author, and master knitter Norah Gaughan shares her design principles and offers clear cable-making instruction throughout, always in a conversational, easy-to-understand voice that proceeds naturally, as one cable idea leads to the next. Master the art of cable knitting, then test your newfound skills with the 15 garment patterns for wraps, sweaters, and accessories. Hardcover, 275 pages; Harry N. Abrams","Knitting > Knitting Books","true","29.95"
"GAUGHAN2","http://www.yarn.com/products/knitting-nature-3","Knitting Nature","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDIvMTcvMTkzL0dBVUdIQU4yLnpvb20uMS5qcGciXV0/GAUGHAN2.zoom.1.jpg?sha=e319b72f655bd468"," 	39 Designs Inspired by Patterns in Nature   	Knitting Nature is ""geek chic"" at its most fascinating and beautiful. Pullovers for men and women born of a fascination with spirals seen in rams' horns &amp; seashells; a shawl inspired by the atomic structure of quasicrystals; or a man's pullover whose central motif resembles the patterns formed by chemical waves. Explained in friendly, layman's terms, using patterns in physics as inspiration. Sophisticated, classic designs, ready to reproduce following step-by-step instructions. Softcover; 176 pages; Stewart, Tabori and Chang New York.  ","Knitting > Knitting Books","false",""
"GAUGHAN3","http://www.yarn.com/products/comfort-knitting-crochet-babies-toddlers","Comfort Knitting & Crochet: Babies & Toddlers","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDIvMTkvNjU4L0dBVUdIQU4zLnpvb20uMDEuanBnIl1d/GAUGHAN3.zoom.01.jpg?sha=498d91abfff04215"," 	In Comfort Knitting &amp; Crochet: Babies &amp; Toddlers, the Berroco design team (led by superstar design director Norah Gaughan) covers all of the cozy bases, presenting blankets, sweaters, bonnets, and plush toys. Like the first book in the Comfort series—Comfort Knitting &amp; Crochet: Afghans—this one features 50 knit and crochet projects using the company’s bestselling, affordably priced Comfort and Vintage yarns. With project styles ranging from traditional pastels and Aran knits to midcentury modern color-blocking, and challenge levels ranging from beginner to advanced, there’s something for every knitter and crocheter—and every baby they love—in this beautiful collection. Soft cover; 158 pages; STC Craft.   	Check out our podcast Ready, Set, Knit for an interview with Norah Gaughan.  ","Knitting > Knitting Books","true","19.95"
"GIPSON","http://www.yarn.com/products/weaving-made-easy","Weaving Made Easy","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDQvMjEvNzEyL0dJUFNPTi56b29tLjAxLmpwZyJdXQ/GIPSON.zoom.01.jpg?sha=b2a942b1dc6294a9"," 	Updated Edition, February 2015   	Weaving Made Easy is a simple and accessible guide to weaving, which uses the simple rigid-heddle loom to create fabrics that are a perfect blend of fun and functionality. The rigid-heddle loom is small, portable, and affordable, making it the perfect starting point for anyone wanting to learn how to weave. 17 quick and easy weaving projects show how to make fabrics that are soft and drapey, sturdy and practical, or just plain fun and funky.   	Projects include woven scarves and belts, pillows, napkins, and hand-woven rugs. Complete, updated instructions for warping a loom, clear step-by-step photos and abundant tips, tricks, and techniques for color, design, and embellishment are included. Weaving Made Easy is the ultimate idea book for the beginning weaver. Softcover, 127 pages; Interweave Press  ","Weaving > Weaving Books","true","24.99"
"GAUSTAD","http://www.yarn.com/products/the-practical-spinners-guide-cotton-flax-hemp","The Practical Spinner's Guide: Cotton, Flax, Hemp","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDIvMzIvMjA3L0dBVVNUQUQuem9vbS4xLmpwZyJdXQ/GAUSTAD.zoom.1.jpg?sha=474f7306d9f543e8"," 	In The Practical Spinner's Guide: Cotton, Flax, Hemp, there are step-by-step illustrated techniques. Stephenie offers a detailed overview of each plant, the fiber it produces, and how to properly prepare, spin, and finish yarns made from each fiber. Interest in spinning continues to grow, and over the last year or so books have become more specialized—focusing on specific types of fiber or spinning techniques. As yet there is no book devoted to the spinning of plant or cellulose fibers. Though not nearly as popular as more easily-spun wools or fleece, there is interest in the subject and more spinning suppliers are carrying cotton and flax fibers.   	Cotton, flax, and hemp behave very differently from wool, and special handling is required. Stephenie discusses how each fiber behaves, and how best to card, prep, and spin them, specifically touching on trouble spots like drafting and adding twist. She also covers finishing yarns—cleaning, setting twist, and plying—and even touches on what dye processes are best for adding color. Finally, she includes a discussion of spinning for both knitting and weaving, covering fabric properties of each fiber, and what the spinner needs to take into account while creating the yarn and using it in a subsequent project. Softcover, 160 pages; Interweave Press  ","Spinning > Spinning, Dyeing & Felting Books","true","26.99"
"4434","http://www.yarn.com/products/button-up-your-top-down","Button Up Your Top Down","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvNTQvMTQvODgxLzQ0MzQuem9vbS4xLmpwZyJdXQ/4434.zoom.1.jpg?sha=40c090fd65e7d93d"," 	We started with the basics: meticulously written, sized and tested top-down, no-sew cardigan patterns for adults in two yarn weights. Then we unleashed the creativity of five talented designers on our six basic patterns, with fabulous results. Focusing on Cabin Fever’s preferred no-sew approach and minimal finishing, this collection has projects for every skill level, from beginner to expert, for all your cardigan needs!  ","Knitting > Knitting Books","false",""
